,adj_close,adj_high,adj_low,adj_open,adj_volume,close,date,frequency,high,intraperiod,low,open,volume
0,121.77,121.85,120.54,121.24,18252318.0,121.77,2019-04-17,daily,121.85,False,120.54,121.24,19300938.0
1,120.77,121.65,120.1,121.64,14071787.0,120.77,2019-04-16,daily,121.65,False,120.1,121.64,14071787.0
2,121.05,121.58,120.57,120.94,15792572.0,121.05,2019-04-15,daily,121.58,False,120.57,120.94,15792572.0
3,120.95,120.98,120.37,120.64,19745143.0,120.95,2019-04-12,daily,120.98,False,120.37,120.64,19745143.0
4,120.33,120.85,119.92,120.54,14209121.0,120.33,2019-04-11,daily,120.85,False,119.92,120.54,14209121.0
5,120.19,120.35,119.54,119.76,16477169.0,120.19,2019-04-10,daily,120.35,False,119.54,119.76,16477169.0
6,119.28,119.54,118.58,118.63,17611981.0,119.28,2019-04-09,daily,119.54,False,118.58,118.63,17611981.0
7,119.93,120.02,118.64,119.81,15116186.0,119.93,2019-04-08,daily,120.02,False,118.64,119.81,15116186.0
8,119.89,120.23,119.37,119.39,15826245.0,119.89,2019-04-05,daily,120.23,False,119.37,119.39,15826245.0
9,119.36,120.23,118.38,120.1,20112848.0,119.36,2019-04-04,daily,120.23,False,118.38,120.1,20112848.0
10,119.97,120.43,119.15,119.86,22860744.0,119.97,2019-04-03,daily,120.43,False,119.15,119.86,22860744.0
11,119.19,119.48,118.52,119.06,18142297.0,119.19,2019-04-02,daily,119.48,False,118.52,119.06,18142297.0
12,119.02,119.1085,118.1,118.95,22789103.0,119.02,2019-04-01,daily,119.1085,False,118.1,118.95,22789103.0
13,117.94,118.32,116.96,118.07,25399752.0,117.94,2019-03-29,daily,118.32,False,116.96,118.07,25399752.0
14,116.93,117.58,116.13,117.44,18334755.0,116.93,2019-03-28,daily,117.58,False,116.13,117.44,18334755.0
15,116.77,118.21,115.5215,117.875,22733427.0,116.77,2019-03-27,daily,118.21,False,115.5215,117.875,22733427.0
16,117.91,118.705,116.85,118.62,26097665.0,117.91,2019-03-26,daily,118.705,False,116.85,118.62,26097665.0
17,117.66,118.01,116.3224,116.56,27067117.0,117.66,2019-03-25,daily,118.01,False,116.3224,116.56,27067117.0
18,117.05,119.59,117.04,119.5,33624528.0,117.05,2019-03-22,daily,119.59,False,117.04,119.5,33624528.0
19,120.22,120.82,117.09,117.135,29854446.0,120.22,2019-03-21,daily,120.82,False,117.09,117.135,29854446.0
20,117.52,118.75,116.71,117.39,28113343.0,117.52,2019-03-20,daily,118.75,False,116.71,117.39,28113343.0
21,117.65,118.44,116.99,118.09,37588697.0,117.65,2019-03-19,daily,118.44,False,116.99,118.09,37588697.0
22,117.57,117.61,116.05,116.17,31207596.0,117.57,2019-03-18,daily,117.61,False,116.05,116.17,31207596.0
23,115.91,117.25,114.59,115.34,54630661.0,115.91,2019-03-15,daily,117.25,False,114.59,115.34,54630661.0
24,114.59,115.2,114.33,114.54,30763367.0,114.59,2019-03-14,daily,115.2,False,114.33,114.54,30763367.0
25,114.5,115.0,113.78,114.13,35513771.0,114.5,2019-03-13,daily,115.0,False,113.78,114.13,35513771.0
26,113.62,113.99,112.6499,112.82,26132717.0,113.62,2019-03-12,daily,113.99,False,112.6499,112.82,26132717.0
27,112.83,112.95,110.98,110.99,26491618.0,112.83,2019-03-11,daily,112.95,False,110.98,110.99,26491618.0
28,110.51,110.71,108.8,109.16,22818430.0,110.51,2019-03-08,daily,110.71,False,108.8,109.16,22818430.0
29,110.39,111.55,109.865,111.4,25338954.0,110.39,2019-03-07,daily,111.55,False,109.865,111.4,25338954.0
30,111.75,112.66,111.43,111.87,17686996.0,111.75,2019-03-06,daily,112.66,False,111.43,111.87,17686996.0
31,111.7,112.39,111.23,112.25,19538318.0,111.7,2019-03-05,daily,112.39,False,111.23,112.25,19538318.0
32,112.26,113.25,110.8,113.02,26608014.0,112.26,2019-03-04,daily,113.25,False,110.8,113.02,26608014.0
33,112.53,113.02,111.665,112.89,23501169.0,112.53,2019-03-01,daily,113.02,False,111.665,112.89,23501169.0
34,112.03,112.88,111.73,112.04,29083934.0,112.03,2019-02-28,daily,112.88,False,111.73,112.04,29083934.0
35,112.17,112.36,110.88,111.69,21487062.0,112.17,2019-02-27,daily,112.36,False,110.88,111.69,21487062.0
36,112.36,113.24,111.17,111.26,21536733.0,112.36,2019-02-26,daily,113.24,False,111.17,111.26,21536733.0
37,111.59,112.18,111.26,111.76,23750599.0,111.59,2019-02-25,daily,112.18,False,111.26,111.76,23750599.0
38,110.97,111.2,109.82,110.05,27763218.0,110.97,2019-02-22,daily,111.2,False,109.82,110.05,27763218.0
39,109.41,109.48,106.87,106.9,29063231.0,109.41,2019-02-21,daily,109.48,False,106.87,106.9,29063231.0
40,107.15,107.94,106.29,107.86,21607671.0,107.15,2019-02-20,daily,107.94,False,106.29,107.86,21607671.0
41,107.71,108.197916242951,107.321658500508,107.331615974854,18038460.0,108.17,2019-02-19,daily,108.66,False,107.78,107.79,18038460.0
42,107.75978737173,107.839447166497,106.905834371822,107.451105667006,26606886.0,108.22,2019-02-15,daily,108.3,False,107.3624,107.91,26606886.0
43,106.445400758066,106.833742257558,105.21067393917,105.857909771656,21784703.0,106.9,2019-02-14,daily,107.29,False,105.66,106.31,21784703.0
44,106.355783488953,107.321658500508,106.256208745493,107.042849218822,18394869.0,106.81,2019-02-13,daily,107.78,False,106.71,107.5,18394869.0
45,106.43544328372,106.684380142368,105.031439400943,105.688632707775,25056595.0,106.89,2019-02-12,daily,107.14,False,105.48,106.14,25056595.0
46,104.802417490986,106.126761578996,104.518629472127,105.74837755385,18914123.0,105.25,2019-02-11,daily,106.58,False,104.965,106.2,18914123.0
47,105.220631413516,105.330163631321,103.816926254969,103.946074697236,21461093.0,105.67,2019-02-08,daily,105.78,False,104.2603,104.39,21461093.0
48,104.822332439678,105.140971618748,103.846499953776,104.737693907738,29760697.0,105.27,2019-02-07,daily,105.59,False,104.29,105.185,29760697.0
49,105.579100489969,106.544975501525,105.081226772673,106.544975501525,20609759.0,106.03,2019-02-06,daily,107.0,False,105.53,107.0,20609759.0
50,106.764039937136,106.813827308866,105.509398169548,105.608972913007,27325365.0,107.22,2019-02-05,daily,107.27,False,105.96,106.06,27325365.0
51,105.290333733937,105.350078580013,102.332963853194,102.432538596653,31315282.0,105.74,2019-02-04,daily,105.8,False,102.77,102.87,31315282.0
52,102.34292132754,103.65720836646,101.914749930665,103.333690024961,35535690.0,102.78,2019-02-01,daily,104.0999,False,102.35,103.775,35535690.0
53,103.98590459462,104.772545067949,102.741220301377,103.358583710826,55636391.0,104.43,2019-01-31,daily,105.22,False,103.18,103.8,55636391.0
54,105.927612092077,105.927612092077,103.88632985116,104.175096607192,49471866.0,106.38,2019-01-30,daily,106.38,False,104.33,104.62,49471866.0
55,102.502240917075,104.5236082093,101.735515392438,104.433990940187,31490547.0,102.94,2019-01-29,daily,104.97,False,102.17,104.88,31490547.0
56,104.633140427105,106.027186835537,104.214926504576,105.808122399926,29476719.0,105.08,2019-01-28,daily,106.48,False,104.66,106.26,29476719.0
57,106.714252565406,107.421233243968,106.136719053342,106.783954885828,31218193.0,107.17,2019-01-25,daily,107.88,False,106.59,107.24,31218193.0
58,105.74837755385,106.544975501525,104.8920347601,106.405570860682,23164838.0,106.2,2019-01-24,daily,107.0,False,105.34,106.86,23164838.0
59,106.256208745493,106.584805398909,104.8920347601,105.668717759083,25874294.0,106.71,2019-01-23,daily,107.04,False,105.34,106.12,25874294.0
60,105.230588887862,106.644550244985,104.414075991495,106.296038642877,32371253.0,105.68,2019-01-22,daily,107.1,False,104.86,106.75,32371253.0
61,107.251956180087,107.44114819266,105.459610797818,107.003019321438,37427587.0,107.71,2019-01-18,daily,107.9,False,105.91,107.46,37427587.0
62,105.668717759083,106.171570213553,104.314501248035,104.553480632338,28393015.0,106.12,2019-01-17,daily,106.625,False,104.76,105.0,28393015.0
63,104.931864657484,105.803143662753,104.513650734954,104.812374965332,29853865.0,105.38,2019-01-16,daily,106.255,False,104.96,105.26,29853865.0
64,104.563438106684,104.603268004068,101.446748636406,102.0740695202,31587616.0,105.01,2019-01-15,daily,105.05,False,101.88,102.51,31587616.0
65,101.616025700287,102.434131792549,100.829385226958,101.466663585098,28437079.0,102.05,2019-01-14,daily,102.8716,False,101.26,101.9,28437079.0
66,102.362836276232,103.000114634372,101.207769252103,102.751177775723,28314202.0,102.8,2019-01-11,daily,103.44,False,101.64,103.19,28314202.0
67,103.159434223907,103.308796339096,101.944622353702,102.781050198761,30067556.0,103.6,2019-01-10,daily,103.75,False,102.38,103.22,30067556.0
68,103.826585005085,104.433990940187,102.805446010909,103.418328556901,32280840.0,104.27,2019-01-09,daily,104.88,False,103.2445,103.86,32280840.0
69,102.362836276232,103.527860774706,101.280857113802,102.601815660534,31514415.0,102.8,2019-01-08,daily,103.97,False,101.7134,103.04,31514415.0
70,101.625983174633,102.828945650365,100.550575945271,101.207769252103,35656136.0,102.06,2019-01-07,daily,103.2681,False,100.98,101.64,35656136.0
71,101.496536008135,102.0740695202,98.5092937043542,99.2959341776833,44060620.0,101.93,2019-01-04,daily,102.51,False,98.93,99.72,44060620.0
72,96.9858001294259,99.7589567347693,96.7866506425072,99.6743182028289,42578410.0,97.4,2019-01-03,daily,100.185,False,97.2,100.1,42578410.0
73,100.689980586114,101.317301469908,98.5192511787002,99.1266571138023,35329345.0,101.12,2019-01-02,daily,101.75,False,98.94,99.55,35329345.0
74,101.138066931682,101.964537302394,100.012872330591,100.859257649995,33173765.0,101.57,2018-12-31,daily,102.4,False,100.44,101.29,33173765.0
75,99.963084958861,101.97449477674,99.0967846907645,101.65585559767,38169312.0,100.39,2018-12-28,daily,102.41,False,99.52,102.09,38169312.0
76,100.74972543219,100.759682906536,95.9900526948322,98.8777202551539,49498509.0,101.18,2018-12-27,daily,101.19,False,96.4,99.3,49498509.0
77,100.132362022742,100.261809189239,93.5604289544236,94.7354109272441,51634793.0,100.56,2018-12-26,daily,100.69,False,93.96,95.14,51634793.0
78,93.7297060183045,97.5533761671443,93.5803439031155,97.2646094111121,43935192.0,94.13,2018-12-24,daily,97.97,False,93.98,97.68,43935192.0
79,97.8122705001387,102.561985763151,97.0455449755015,101.197811777757,111242070.0,98.23,2018-12-21,daily,103.0,False,97.46,101.63,111242070.0
80,101.078322085606,103.866414902468,98.3599315891652,102.61177313488,70334184.0,101.51,2018-12-20,daily,104.31,False,98.78,103.05,70334184.0
81,103.24905149302,106.425485809374,100.919002496071,103.209221595636,68198186.0,103.69,2018-12-19,daily,106.88,False,101.35,103.65,68198186.0
82,103.527860774706,104.065564389387,102.084026994546,103.308796339096,49319196.0,103.97,2018-12-18,daily,104.51,False,102.52,103.75,49319196.0
83,102.452453545345,105.350078580013,101.277471572525,104.961737080521,56957314.0,102.89,2018-12-17,daily,105.8,False,101.71,105.41,56957314.0
84,105.579100489969,108.795364703707,105.051354349635,107.789659794767,47043136.0,106.03,2018-12-14,daily,109.26,False,105.5,108.25,47043136.0
85,108.98455671628,110.398518073403,108.168043819913,109.114003882777,31333362.0,109.45,2018-12-13,daily,110.87,False,108.63,109.58,31333362.0
86,108.61613016548,110.79681704724,108.576300268097,110.418433022095,36183020.0,109.08,2018-12-12,daily,111.27,False,109.04,110.89,36183020.0
87,108.128213922529,110.47817786817,106.983104372747,109.333068318388,42381947.0,108.59,2018-12-11,daily,110.95,False,107.44,109.8,42381947.0
88,107.132466487936,107.520807987427,103.448200979939,104.354331145419,40801525.0,107.59,2018-12-10,daily,107.98,False,103.89,104.8,40801525.0
89,104.374246094111,108.98455671628,103.856457428122,107.919106961265,45044937.0,104.82,2018-12-07,daily,109.45,False,104.3,108.38,45044937.0
90,108.725662383286,108.775449755015,104.553480632338,105.369993528705,49107431.0,109.19,2018-12-06,daily,109.24,False,105.0,105.82,49107431.0
91,108.058511602108,112.15830251456,107.751323518536,111.463967828418,45196984.0,108.52,2018-12-04,daily,112.6373,False,108.2115,111.94,45196984.0
92,111.613329943607,112.937674031617,110.25911343256,112.519460109088,34732772.0,112.09,2018-12-03,daily,113.42,False,110.73,113.0,34732772.0
93,110.418433022095,110.498092816862,108.894939447166,110.229241009522,33665624.0,110.89,2018-11-30,daily,110.97,False,109.36,110.7,33665624.0
94,109.721409817879,110.642476194878,108.566342793751,109.860814458722,28123195.0,110.19,2018-11-29,daily,111.115,False,109.03,110.33,28123195.0
95,110.647454932051,110.856561893316,107.401318295276,107.431190718314,46788461.0,111.12,2018-11-28,daily,111.33,False,107.86,107.89,46788461.0
96,106.684380142368,106.873572154941,104.911949708792,105.818079874272,29124486.0,107.14,2018-11-27,daily,107.33,False,105.36,106.27,29124486.0
97,106.017229361191,106.176548950726,104.135266709809,104.344373671073,32336165.0,106.47,2018-11-26,daily,106.63,False,104.58,104.79,32336165.0
98,102.631688083572,103.368441610428,101.566238328557,101.735515392438,13823099.0,103.07,2018-11-23,daily,103.8099,False,102.0,102.17,13823099.0
99,102.671517980956,103.98590459462,101.805217712859,103.159434223907,28130621.0,103.11,2018-11-21,daily,104.43,False,102.24,103.6,28130621.0
